#{"t_start": 1738564177.2584584, "env_id": "None"}
r,l,t
-318.068561,100,1660.982831
-322.66211,100,1666.700666
-320.563618,100,1671.86839
-323.712041,100,1677.376191
-314.702611,100,1682.749357
-317.922467,100,1688.127175
-324.192472,100,1693.12541
-329.481556,100,1698.319994
-319.245365,100,1703.554899
-318.854594,100,1715.57827
-324.646436,100,1724.311504
-319.743573,100,1729.360222
-318.263834,100,1734.649945
-322.196035,100,1739.606296
-318.414047,100,1744.48092
-315.682882,100,1749.536253
-322.901449,100,1754.546832
-316.378517,100,1759.439484
-324.289733,100,1765.613702
-324.444716,100,1770.613466
-321.077088,100,1776.888642
-321.157544,100,1783.109058
-321.035538,100,1788.473219
-329.98803,100,1793.486511
-328.445549,100,1798.35381
-327.284216,100,1810.228914
-312.277885,100,1816.562962
-328.415967,100,1821.606212
-323.707211,100,1826.59419
-327.720126,100,1831.505766
-323.638927,100,1838.666354
-329.663319,100,1845.628585
-313.561847,100,1850.854977
-331.444144,100,1856.170881
-329.425914,100,1861.189769
-320.545255,100,1873.624356
-318.722785,100,1879.080846
-328.969786,100,1884.163174
-315.269424,100,1889.175193
-324.421488,100,1894.565847
-319.725728,100,1905.570864
-323.943573,100,1910.829504
-323.365784,100,1915.909229
-320.184401,100,1921.084491
-328.485205,100,1926.264607
-324.531661,100,1931.187515
-326.570745,100,1936.131737
-319.47746,100,1941.70893
-328.119466,100,1946.921445
-326.76207,100,1952.141516
-323.610291,100,1960.154782
-324.437922,100,1966.838301
-325.801182,100,1972.117567
-315.614206,100,1984.328177
-318.14754,100,1989.521783
-315.36669,100,1994.600797
-322.196298,100,1999.801323
-324.849548,100,2005.199434
-320.38809,100,2011.841922
-322.471057,100,2021.324676
-325.459871,100,2033.295983
-326.615094,100,2038.43066
-326.909695,100,2043.696394
-324.898755,100,2048.886826
-326.938133,100,2053.977057
-322.773557,100,2094.46759
-321.176806,100,2099.476149
-317.779698,100,2105.029923
-325.366484,100,2116.869785
-324.929126,100,2124.807507
-316.849638,100,2137.047447
-314.412238,100,2148.004578
-319.200582,100,2155.024104
-330.958375,100,2160.000197
-315.304244,100,2165.503417
-333.808146,100,2170.695421
-319.662628,100,2175.715563
-321.23737,100,2181.22735
-319.004847,100,2186.356874
-321.329277,100,2198.991168
-326.445766,100,2204.412108
-315.389348,100,2210.184274
-317.057519,100,2215.184589
-323.289184,100,2220.314052
-320.020241,100,2232.147697
-326.298565,100,2237.209314
-317.608191,100,2242.309495
-315.886727,100,2247.589966
-323.80314,100,2260.387889
-326.243149,100,2272.515881
-321.60132,100,2284.559218
-317.451527,100,2291.353411
-321.001313,100,2297.896187
-311.086428,100,2303.838767
-321.468329,100,2308.790011
-316.231568,100,2313.820975
-316.073763,100,2324.691807
-320.742944,100,2330.919749
-316.512309,100,2338.129563
-321.137341,100,2347.813998
-320.436316,100,2360.000288
-316.066707,100,2365.188301
-314.138915,100,2370.265607
-317.252517,100,2383.106742
-318.467954,100,2388.345848
-328.548375,100,2393.528438
-320.126596,100,2400.696285
-313.111733,100,2405.717945
-321.538566,100,2410.919349
-314.464591,100,2415.932259
-315.679771,100,2421.294184
-316.183312,100,2426.614975
-321.733702,100,2431.676476
-319.797348,100,2440.979361
-317.575102,100,2446.281975
-313.833948,100,2451.456412
-319.659999,100,2458.270452
-321.145647,100,2463.531875
-318.671188,100,2468.736198
-323.706669,100,2473.733024
