#{"t_start": 1737249588.6718976, "env_id": "None"}
r,l,t
-159.123917,100-145.210697,1000-144.203943,100-132.043556,1000-180.500729,10-282.346402,1000,-140.954427,1-187.373501,1000,1-104.12338,99-234.563379,1000-101.542196,100-206.53502,1000,-109.412026,10-254.668458,1000,-211.290605,1000,15662.23643
-230.134083,1000,15710.265561
-113.674507,1000,15758.298829
-239.353697,100-140.247271,1000,15816.200922
-123.247706,1000,15865.905072
-197.991517,1000,15911.923919
-172.178175,1000,15962.642632
-178.080199,1000,16011.910405
-124.866727,1000,16064.370307
-156.447723,10-162.198497,1000,16399.831459
-334.743577,1000,16447.820717
-15.75118,219,16460.139007
-112.529453,1000,-162.37424,1000,16614.551189
-141.42165,1000,16664.266397
-98.376002,1000,16714.228159
-189.399954,1000,16766.143393
-114.031631,1000,16821.390398
-91.986765,1000,16870.401401
-92.755387,1000,-132.532427,10-136.215293,1000,-187.902874,1-143.322434,1000,1-126.636386,1-112.759754,1000,1-149.365419,1-179.956211,1000,17429.037288
-149.946674,1000,17476.996264
-211.991725,1000,17535.097486
-270.441049,1000,17581.825716
-150.043099,1000,17631.164168
-197.912744,1000,17680.007633
-113.276422,1000,17733.57432
-141.884121,1000,17780.51963
-170.30584,1000,17828.474585
-51.161548,722,17868.626285
-141.202322,1000,17916.034171
-314.892792,1000,18227.153302
-172.926378,1000,18277.330932
-119.893492,1000,18325.675982
-121.742113,1000,18373.617837
-194.615287,1000,18419.649215
-189.124742,1000,18468.898298
-104.303943,1000,18518.805332
-175.042807,1000,18567.774411
-86.361046,1000,18620.843073
-305.194019,1000,18670.020106
-241.103628,1000,18947.95861
-147.057284,1000,18998.465826
-125.450619,1000,19048.319558
-179.329166,1000,19098.771233
-179.286871,1000,19151.779232
-962.766759,1000,19203.012477
-125.823122,1000,19250.342499
-216.980504,1000,19300.272078
-93.469535,1000,19355.543793
-105.129884,1000,19406.156672
-162.447249,1000,19661.813444
-104.076474,1000,19712.354211
-193.973755,1000,19761.994157
-136.405442,1000,19808.419411
-522.119242,1000,19898.849344
-183.416769,1000,19945.942448
-680.263803,1000,20005.184807
-114.710897,1000,20056.740453
-414.540028,1000,20126.055595
-247.755828,1000,20175.189708
-164.500316,1000,20506.805908
-218.620609,1000,20556.612057
-204.351904,1000,20604.42155
-243.460101,1000,20650.926125
-190.426962,1000,20701.633228
-470.541737,1000,20749.701151
-187.095773,1000,20799.340345
-571.222729,1000,20845.493523
-114.139271,1000,20894.358941
-426.07657,1000,20943.712492
-145.637084,1000,21217.18007
-120.142601,1000,21264.932868
-10.248639,135,21272.996423
-94.3315,1000,21326.709633
-175.291181,1000,21374.607822
-120.388735,1000,21422.713873
-123.924811,1000,21472.184702
-258.082813,1000,21537.355502
-317.968765,1000,21584.922561
-145.672912,1000,21634.187402
-5.117369,126,21643.3523
-136.519569,1000,21930.569793
-112.845874,1000,22014.966767
-114.869747,1000,22065.409726
-111.054674,1000,22116.818245
-441.117479,1000,22163.480748
-434.966217,1000,22220.975874
-175.279967,1000,22270.088047
-523.633818,1000,22317.15436
-120.52287,1000-86.352428,1000-540.932718,100-127.365436,1000-400.118736,1000,22695.160314
-171.911574,1000,22745.797252
-223.636975,1000,22793.928582
-140.974515,1000,22844.104873
-156.325936,1000,22895.040063
-120.660011,1000,22949.428119
-187.921271,1000,22995.993854
-169.24179-121.162004,1000,2321-141.38515-617.722174,1000,2325-147.67471-111.854761,1000,2330-104.95862,1000,23461.271328
-146.862052,1000,23510.606415
-176.699499,1000,23560.640522
-97.5802,1000,23611.134511
-209.460172,1000,23660.092273
-182.23518,1000,23711.552168
-133.194353,1000,23761.04921
-265.576617,100-130.056484,1000-126.384217,10-96.221704,1000,2-193.169734,1-108.101134,1000,2-246.938666,1000,24184.757217
-224.146905,1000,24232.990571
-127.515209,1000,24298.927837
-105.676638,1000,24347.337782
-128.11544,1000,24398.050757
-225.785306,1000,24445.741552
-182.127037,1000,24512.7696
-11.453007,131,2-478.178933,1000,24710.222128
-216.209547,1000,24760.508453
-123.778194,1000,24811.755981
-128.277333,-531.517645,1000,25045.97267
-121.325809,1000,25094.272081
-137.107215,1000,25145.932101
-158.990361,1000,25193.689663
-110.158964,1000,25244.818577
-149.592294,1000,25291.62815
-116.864771,1000,25340.874158
-165.595821,1000,25389.233876
-198.349197,1000,25439.499305
-199.954133,1000,-129.449047,10-91.104244,1000,25783.313065
-133.10146,1000,25833.36612
-359.719675,1000,25881.224469
-108.147974,1000,25929.448316
-341.308645,1000,25977.236124
-20.857729,271,25993.607302
-100.054828,1000,2604-181.187678,1000,26246.875667
-317.052712,1000,26293.602715
-168.006692,1000,26343.428027
-113.067343,1000,26390.807716
-112.17926-339.230061,1000,26500.228444
-131.582011,1000,26549.128456
-361.20633,1000,26599.034779
-166.470694,1000,26665.678786
-200.427476,1000,26713.547626
-426.148284,1000,26761.99943
-568.513218,1000,2-585.705832,1-202.276891,1000,2-287.426875,1-100.455827,1000,2-135.020653,1-166.752221,1000,2-153.864459,1000,27119.91117
-340.796319,-91.197391,1000,27259.760494
-152.291351,1000,27306.037778
-2.594517,49,27313.514106
-155.770205,1000,27363.135523
-238.194676,1000,27411.547117
-184.246428,1000,2745-100.909279,1000,27709.074823
-143.411737,1000,27758.59987
-337.331946,1000,27806.420942
-143.105207,1000,27854.232636
-198.369816,1000,27904.095721
-123.2448-133.816564,1000,28058.655434
-100.765721,1000,28107.139202
-235.611672,1000,28156.000245
-135.648417,1000,28205.963892
-96.338416,1000,28256.548994
-123.156597,1000,2-100.833432,1-102.73967,1000,28-83.501894,1-522.922191,1000,2-130.533336,1-198.247621,1000,2-124.454343,1-112.288683,1000,2-126.590914,1-193.037621,1000,28797.251392
-101.20699,1000,28846.902021
-93.749791,1000,28895.914238
-208.922591,1000,28943.743106
-96.878947,1000,28993.088395
-109.615198,1000,29045.887979
-464.902842,1000,29092.11594
-175.62171,1000,29144.563916
-569.038352,1000,29189.703247
-827.351406,1000,29236.967927
-198.21271,1000,29513.675248
-121.748084,1000,29564.454782
-103.711453,1000,29614.177565
-352.061132,1000,29686.868433
-26.194337,394,29708.685409
-35.489757,424,-98.49734,1000,29922.273721
-116.907865,1000,29973.377208
-560.053924,1000,30021.985216
-149.36455,1000,30071.350448
-99.378957,1000,30129.165685
-107.124827,1000-91.651176,1000,30258.553237
-1.202919,30,30260.652503
-115.622703,846,30303.817874
-139.619409,1000,30356.092299
-122.118591,1000,3-325.807442,1000,30676.41314
-77.887524,1000,30727.007194
-77.157423,1000,30775.749127
-298.586306,1000,30825.507025
-142.695332,1000,30876.193335
-57.470779,1000,30930.373696
-180.586893,100-183.458208,1000,31048.218582
-90.324383,1000,31164.645191
-56.583841,526,31193.937522
-168.10837,1000,31-116.06441,1000,31458.679997
-120.733775,1000,31506.700498
-131.924869,1000,31559.340794
-67.003511,1000,31608.306334
-131.05132,1000,31660.210787
-280.269323,1000,31708.917442
-228.59851,10-270.623599,1000,31904.45319
-80.289516,1000,31954.141934
-165.707184,1000,32004.428902
-104.546639,1000,3-91.323293,10-91.139737,1000-131.655883,100-130.742135,1000-319.02557,1000-636.621408,100-103.129615,1000-133.176507,100-94.545245,1000,-99.791005,1000,32308.580508
-103.299903,1000,32374.192312
-521.594562,1000,32671.333054
-69.041032,1000,32724.840938
-155.455297,1000,32770.603294
-177.81284,1000,32823.748122
-86.899726,1000,32877.920387
-126.309686,1000,32926.499041
-116.587421,1000,32974.136698
-102.137089,1000,33024.815588
-83.808196,1000,33076.813164
-94.420706,1000,33167.83042
-119.794997,1000,33444.462368
-101.6284,1000,33494.981251
-1.642395,28,33497.23842
-114.161271,1000,33546.569524
-120.637162,1000-155.323097,100-252.756989,1000-108.995599,100-118.104866,1000-184.12329,1000-106.437649,100-119.764072,1000-123.156402,100-172.874235,1000-125.219534,100-134.335921,1000-186.258917,100-88.654809,1000,-168.985731,1000,34179.097479
-111.730208,1000,34236.291217
-104.950002,1000,34285.418643
-164.056312,1000,34338.994007
-99.309197,1000,34388.704437
-106.551374,1000,34437.962063
-100.939,1000,34487.217569
-131.191813,1000,34535.529823
-101.520778,1000,34584.277076
-122.876676,1000,34632.956728
-113.486248,1000,34933.427128
-105.743574,1000,34981.213546
-115.265906,1000,35027.244885
-120.660192,1000,35075.850821
-138.682817,1000,35122.111107
-105.868454,1000,35173.440402
-89.632699,1000,35225.688831
-106.975754,1000,35274.056538
-600.046211,1000,35320.317804
-171.221978,1000,35371.008917
-171.559272,1000,35657.51033
-116.063597,1000,35705.980773
-490.37373,1000,35753.684066
-162.875938,1000,35802.06813
-147.232151,1000,35852.997591
-202.999772,1000,35907.113699
-106.408892,1000,35957.640808
-30.134109,455,35982.43885
-121.319689,1000,36032.239531
-113.675873,1000,36079.517889
-59.877514,469,36102.839812
-17-90.823448,1000,36263.9698-464.678566,1000,36409.63952
-80.839927,1000,36460.838351
-212.350034,1000,36511.265002
-11-74.247284,1000,36747.359952
-490.205104,1000,36795.20312
-427.046061,1000,36842.521822
-68.523258,1000,36891.941532
-121.65126,1000,36939.197015
-123.312034,1000,36995.810422
-81.462879,1000,37046.416424
-143.081527,1000,37095.0456-121.340457,1000,37148.00282
-56.991548,668,37184.749528
-1.0134-116.833935,1000,37491.295313
-23.640316,381,37515.627396
-111.003449,1000,37569.365892
-159.351599,1000,37620.37862
-203.076898,1000,37668.858623
-100.074343,1000,37715.972075
-100.379485,1000,37766.146547
-107.770457,1000,37821.279959
-120.090672,1000,37869.564942
-167.775953,1000,-129.292859,10-167.197902,1000,38209.331177
-81.309798,1000,38258.975027
-163.982471,1000,38309.240696
-126.97564,1000,38356.601186
-150.557489,1000,38405.707602
-158.225767,1000,38452.919788
-146.832949,1000,38502.603504
-9.640084,152,38511.614509
-356.707288,1000,38558.846635
-78.224005,1000,38610.2091
-110.379676,1000-119.865565,100-111.156007,1000,38976.1081
-404.557223,1000,39025.16718
-136.244532,1000,39076.308574
-141.94808,1000,39125.934872
-158.853872,1000,39174.428836
-126.813389,1000,39226.196027
-436.429643,1000,39275.138762
-99.535154,1000,39328.711818
-9.030411,156,39347.317524
-123.206677,1000,39405-73.257961,1000,39331.536323
-148.5142-127.188499,1000,39748.774768
-263.511244,1000,39798.475296
-86.838776,1000,39851.987281
-100.873336,1000,39921.52401
-619.222446,1000,39971.2161
-105.321494,1000,40048.011557
-142.599256,1000,40097.470491
-169.027734,1000,40146.847997
-718.584661,1000,40197.171731
-301.769792,1000,40249.000811
-139.641481,1000,40608.978114
-136.685721,1000,40657.592334
-333.936704,1000,40706.891641
-125.670728,1000,40758.757212
-133.063752,1000,40807.192988
-23.723052,272,40822.929187
-514.466319,1000,40871.271827
-173.746874,1000,40921.145929
-124.414902,1000,40970.936241
-102.081803,1000,41023.915047
-107.978832,1000,41078.409481
-101.338988,1000,41383.539589
-129.50669,1000,41438.093516
-84.111305,1000,41493.324598
-386.106191,1000,41542.148118
-124.730231,1000,41591.08958
-117.500405,1000,41643.376416
-368.102822,1000,41692.006553
-284.16962,1000,41742.812903
-26.237038,379,41766.377459
-443.226992,1000,41836.813567
-83.853451,810,41878.855888
-466.502279,1000,42175.891824
-270.952285,1000,42225.697322
-89.56974,1000,42272.069893
-167.648719,1000,42320.540356
-346.784475,1000,42370.212793
-37.409159,350,42389.647211
-82.916151,1000,42439.088292
-18.327561,309,42458.843082
-89.147191,1000,42510.110346
-303.847491,1000,42557.450647
-121.147104,1000,42608.838958
-174.974738,1000,42879.318977
-362.026104,1000,42929.453115
-115.003031,1000,42976.143045
-552.542442,1000,43022.871333
-106.35922,1000,43073.034771
-165.88455,1000,43140.910152
-137.457975,1000,43189.897166
-631.476301,1000,43237.815402
-82.156902,1000,43292.956001
-22.468069,296,43312.85932
-102.013295,1000,43370.132029
-118.849048,1000,43674.410475
-174.470189,1000,43724.82617
-135.987504,1000,43775.024617
-119.161701,1000,43827.850888
-256.742951,1000,43878.525725
-154.68238,1000,43931.879746
-20.835448,294,43949.047048
-109.265808,1000,43997.722353
-132.260006,1000,44045.630836
-77.730316,1000,44100.101133
-556.443958,1000,44403.545456
-152.127867,1000,44456.942668
-103.780548,1000,44509.602174
-146.256446,1000,44559.16902
-130.552005,1000,44612.180296
-143.525288,1000,44661.834089
-270.698216,1000,44711.255158
-83.829565,1000,44766.782003
-141.328897,1000,44818.414153
-133.216472,1000,44866.80196
-88.006559,1000,45144.04024
-514.346387,1000,45191.518095
-86.561956,1000,45242.377836
-719.212773,1000,45289.800249
-111.58666,1000,45337.958466
-143.899749,1000,45389.505014
-674.911495,1000,45436.014353
-62.191689,1000,45504.98283
-122.677148,1000,45552.039818
-141.470381,1000,45602.481144
-174.579289,1000,45859.024693
-139.66779,1000,45909.040255
-146.523032,1000,45956.971463
-107.256263,1000,46011.098584
-390.322078,1000,46060.252621
-229.015396,1000,46111.108693
-301.533216,1000,46160.525308
-93.138451,1000,46209.815689
-148.222276,1000,46273.125921
-109.36158,1000,46326.137887
-113.833532,1000,46634.900709
-93.953179,1000,46687.208754
-151.705984,1000,46736.829481
-88.946133,1000,46786.417812
-104.651825,1000,46835.647997
-165.531492,1000,46883.825587
-148.461586,1000,46936.809936
-4.837404,112,46944.073004
-387.959574,1000,46994.505095
-14.048472,223,47008.627014
-127.811176,1000,47061.694914
-29.75363,293,47080.22-170.9-59.377753,1000,47135.78814
-105.723311,1000,47467.032828
-101.608367,1000,47516.62964
-161.475482,1000,47567.336339
-155.214694,1000,47618.64283
-199.009077,1000,47667.290893
-144.954706,1000,47715.132723
-114.912083,1000,47767.48-134.8-162.112081,1000,47817.511711
-125.520749,1000,47873.309225
-176.898344,1000,47922.211799
-125.01156,1000,48158.740455
-145.934392,1000,48206.87998
-738.810173,1000,48253.50623
-97.635343,1000,48304.288482
-286.855797,1000,48356.386122
-120.390163,1000,48406.975814
-123.813143,1000,48520.814162
-69.555209,818,48592.203005
-108.761682,1000,48638.593626
-328.324676,1000,48688.971895
-6.716406,144,48698.086569
-178.113559,1000,48961.526402
-86.135358,1000,49012.82374
-12.43392,123,49019.003645
-168.486583,1000,49071.531146
-89.88279,1000,49125.967685
-374.997478,1000,49177.456499
-126.263123,1000,49227.934697
-158.866324,1000,49279.533761
-90.372132,1000,49331.903229
-176.088185,1000,49381.181638
-6.181741,101,49387.349627
-10.576393,170,49397.57-114.2-47.376858,1000,49695.249543
-167.648589,1000,49742.333405
-130.230546,1000,49816.306656
-488.239886,1000,49863.529241
-152.723366,1000,49915.986414
-93.445717,1000,49971.225875
-122.413356,1000,50038.068605
-509.626537,1000,50083.227472
-127.696492,1000,50132.384698
-96.389391,1000,50181.997389
-76.791997,1000,50480.97521
-118.789378,1000,50530.377569
-192.029867,1000,50583.23298
-203.496846,1000,50634.926266
-147.870228,1000,50686.921757
-133.27927,1000,50738.351752
-103.993225,1000,50788.45864
-430.854691,1000,50835.470763
-18.12999,332,50855.083193
-344.463948,1000,50902.939431
-103.219885,1000,50951.409097
-142.193611,1000,51253.13303
-192.826471,1000,51300.099495
-168.028727,1000,51350.327732
-162.752012,1000,51400.207391
-129.979297,1000,51452.43911
-281.137744,1000,51498.327028
-103.155804,1000,51548.437042
-159.967248,1000,51598.361916
-99.081691,1000,51649.88685
-294.256495,1000,51698.528097
-175.231845,1000,51989.508996
-115.912394,1000,52040.884803
-263.064209,1000,52087.557313
-11.347067,115,52093.291195
-130.002697,1000,52141.554644
-137.063426,1000,52193.451428
-116.007067,1000,52243.377602
-124.208239,1000,52295.172367
-88.524461,1000,52343.905563
-134.023393,1000,52393.662544
-96.320619,1000,52442.13019
-108.969808,1000,52733.236404
-80.098007,1000,52785.114986
-85.338025,1000,52833.929437
-136.536325,1000,52880.752811
-95.577425,1000,52931.920255
-152.822581,1000,52980.371118
-117.324251,1000,53028.42031
-107.20083,1000,53084.657215
-30.177058,341,53103.132538
-92.782605,1000,53154.975329
-130.269856,1000,53206.39247
-3.76992,66,53210.339117
-196.799994,1000,53502.955288
-86.685743,1000,53554.537835
-127.20521,1000,53603.219539
-164.716001,1000,53653.689266
-69.218725,1000,53706.862383
-20.350617,348,53727.751476
-133.04251,1000,53776.765767
-79.347975,1000,53827.995055
-151.111484,1000,53875.975578
-113.347542,1000,53927.602398
-138.591537,1000,54202.61056
-84.605355,1000,54259.588027
-109.402484,1000,54308.82903
-145.51073,1000,54358.260129
-120.123827,1000,54412.169061
-65.115148,1000,54475.87552
-79.749146,1000,54527.511345
-578.359374,1000,54574.605843
-556.824332,1000,54620.070023
-120.207098,1000,54671.682355
-140.832076,1000,54965.258265
-116.731869,1000,55013.865319
-84.334437,1000,55063.026927
-83.941983,1000,55118.533049
-108.781313,1000,55168.707039
-180.472295,1000,55218.807591
-155.825443,1000,55265.352484
-112.725213,1000,55314.987362
-9.566125,175,55325.614869
-100.556179,1000,55374.264589
-77.496168,1000,55428.780959
-106.03588,1000,55716.873478
-102.222577,1000,55765.650865
-325.144765,1000,55815.408814
-15.741947,225,55828.138722
-172.795126,1000,55874.974838
-159.24601,1000,55922.967453
-532.409241,1000,55972.751047
-117.967525,1000,56020.807026
-115.460371,1000,56069.21822
-132.063101,1000,56123.130605
-102.393285,1000,56172.056635
-108.022265,1000,56467.442422
-49.974241,577,56501.547096
-109.627525,1000,56548.670961
-164.922322,1000,56595.136849
-114.939863,1000,56642.825537
-98.131571,1000,56696.965615
-72.953446,1000,56745.65977
-441.399842,1000,56794.381174
-401.573195,1000,56841.554986
-74.631575,1000,56888.43529
-457.188733,1000,57142.25428
-516.23668,1000,57187.742529
-74.089402,1000,57240.123879
-126.230897,1000,57288.005749
-108.221322,1000,57334.131673
-215.75411,1000,57382.896893
-22.571906,415,57412.271887
-132.157789,1000,57461.95994
-122.459711,1000,57511.6696
-38.010943,409,57534.842648
-232.424368,1000,57585.020496
-618.684628,1000,57875.156212
-77.316533,1000,57933.94416
-607.124585,1000,57979.820957
-362.681752,1000,58027.683448
-95.876421,1000,58081.640188
-108.140151,1000,58132.114839
-217.370314,1000,58182.613753
-88.960513,1000,58230.658242
-155.323882,1000,58278.375641
-178.134755,1000,58326.674123
-8.2156,116,58333.569488
-87.143621,1000,58619.831145
-272.953664,1000,58668.766041
-177.375336,1000,58719.49926
-109.819889,1000,58770.033583
-98.321685,1000,58817.13345
-158.743622,1000,58866.624531
-436.12176,1000,58914.211834
-87.946872,1000,58963.866762
-98.87822,1000,59012.657931
-95.209158,1000,59060.138183
-161.753133,1000,59317.603189
-31.408785,482,59344.329597
-108.960579,1000,59395.023665
-176.345282,1000,59443.139991
-104.471812,1000,59491.949098
-128.638025,1000,59540.289782
-67.569676,1000,59589.847131
-127.608308,1000,59638.0697
-96.26489,1000,59689.943129
-122.884063,1000,59737.183083
-660.796711,1000,59784.205314
-98.421392,1000,59994.679727
-95.47492,1000,60048.7361
-145.661033,1000,60094.602531
-102.537849,1000,60141.687789
-113.064713,1000,60188.72542
-328.990854,1000,60238.4468
-174.075105,1000,60288.446667
-113.179629,1000,60340.484652
-134.339177,1000,60389.859221
-265.2457,1000,60440.038463
-12.740365,213,60454.932758
-436.205294,1000,60746.254422
-11.829571,217,60760.488605
-126.10343,1000,60807.021151
-213.558403,1000,60858.220012
-121.454141,1000,60904.927251
-128.045027,1000,60955.785668
-308.059121,1000,61005.590837
-117.003763,1000,61053.928607
-187.429786,1000,61101.538746
-103.423356,1000,61150.38764
-77.512898,1000,61440.473645
-163.2324,1000,61490.082578
-128.216619,1000,61537.438196
-8.949904,135,61545.129669
-143.279346,1000,61594.616952
-112.247988,1000,61644.254313
-94.183436,1000,61693.135144
-115.098086,1000,61744.168904
-214.225273,1000,61790.993063
-79.856747,1000,61848.685796
-125.605352,1000,61898.413637
-444.398346,1000,62193.191143
-95.938959,1000,62248.543937
-141.704902,1000,62296.267426
-358.919764,1000,62345.529191
-122.067816,1000,62394.098098
-88.997253,1000,62442.42032
-297.640566,1000,62489.147162
-97.40116,1000,62539.196877
-17.15778,289,62554.733218
-149.733105,1000,62606.980552
-22.522728,217,62617.93435
-97.312381,1000,62668.600129
-88.388405,1000,62963.993678
-94.307062,1000,63010.821385
-12.902007,148,63018.349361
-85.212629,1000,63069.857281
-92.324697,1000,63123.145573
-82.349836,1000,63171.154805
-389.253492,1000,63218.825246
-144.275978,1000,63264.981361
-232.925245,1000,63312.957275
-391.155073,1000,63362.502506
-465.776369,1000,63408.511548
-86.871399,1000,63699.509665
-87.533832,1000,63750.129136
-106.961273,1000,63802.283862
-62.967665,1000,63853.183636
-22.839284,262,63870.913407
-473.110763,1000,63917.009868
-103.479683,1000,63966.639933
