#{"t_start": 1732916283.156582, "env_id": "None"}
r,l,t
-615.658542,1000,135.529775
-588.673267,1000,148.405142
-565.934973,1000,161.287212
-563.161829,1000,174.218035
-620.639859,1000,187.000919
-706.433461,1000,355.42218
-620.039888,1000,366.796374
-723.252797,1000,378.404752
-716.925964,1000,390.699938
-611.358139,1000,400.335414
-696.360616,1000,562.358163
-636.38327,1000,574.66891
-628.517223,1000,584.804123
-580.249511,1000,595.978027
-547.415921,1000,605.901095
-636.288194,1000,778.275948
-724.461136,1000,788.986449
-573.766369,1000,801.775935
-628.865395,1000,812.980595
-596.985177,1000,823.906583
-664.474969,1000,996.626527
-678.105928,1000,1009.201053
-708.713326,1000,1018.065757
-772.427964,1000,1031.418195
-728.994505,1000,1044.468622
-713.799757,1000,1219.460025
-599.468978,1000,1232.450873
-744.172168,1000,1245.155499
-555.742182,1000,1258.448222
-568.952204,1000,1267.966037
-654.305633,1000,1424.545957
-612.55339,1000,1436.83357
-568.603914,1000,1449.091012
-604.21101,1000,1458.687574
-654.450281,1000,1470.468043
-630.068936,1000,1629.297788
-625.467155,1000,1641.920217
-604.821386,1000,1655.832839
-580.975591,1000,1668.965945
-620.668832,1000,1682.389702
-649.357364,1000,1845.810894
-604.554227,1000,1856.525061
-543.50217,1000,1869.818196
-601.009482,1000,1882.053967
-656.636223,1000,1895.039327
-796.333832,1000,2056.828127
-720.060773,1000,2070.211618
-595.735265,1000,2081.459572
-599.621534,1000,2093.165538
-563.815978,1000,2105.708085
-546.286093,1000,2279.700935
-644.027173,1000,2292.961399
-630.09455,1000,2302.416615
-610.52131,1000,2316.796117
-586.936571,1000,2326.426351
-714.106025,1000,2498.045987
-694.576191,1000,2511.626998
-674.869716,1000,2522.227113
-630.16,1000,2535.093272
-622.844207,1000,2548.095907
-587.272995,1000,2713.912031
-614.914654,1000,2726.636887
-590.043044,1000,2739.86976
-622.534178,1000,2750.642574
-653.976299,1000,2763.910714
-627.173712,1000,2928.83541
-609.538348,1000,2941.391818
-570.625413,1000,2951.464789
-604.885118,1000,2964.323089
-621.811936,1000,2976.135538
-621.673634,1000,3137.626872
-587.388609,1000,3145.699236
-630.999917,1000,3155.160198
-594.41798,1000,3164.660914
-718.220128,1000,3178.221067
-619.574608,1000,3341.295384
-661.393578,1000,3355.056707
-668.781965,1000,3368.78559
-694.950296,1000,3382.201848
-660.629,1000,3396.455534
-829.802352,1000,3566.846151
-661.482233,1000,3580.39351
-650.61915,1000,3594.883941
-688.49073,1000,3606.094673
-626.136273,1000,3617.472374
-593.789413,1000,3789.525094
-736.314424,1000,3802.630284
-578.245706,1000,3815.377074
-588.93215,1000,3828.125854
-635.210215,1000,3840.871628
-612.384447,1000,4007.455635
-694.128562,1000,4020.067456
-714.013859,1000,4032.86993
-766.403016,1000,4045.597164
-751.562524,1000,4054.754755
-625.924586,1000,4220.557001
-618.596378,1000,4233.629844
-684.170415,1000,4246.721602
-583.12504,1000,4256.457025
-666.593572,1000,4268.417154
-649.367724,1000,4436.87459
-642.892825,1000,4448.520167
-659.85166,1000,4457.822645
-613.456527,1000,4470.777168
-779.527363,1000,4483.790883
-580.655363,1000,4646.276075
-581.946862,1000,4659.767154
-598.646132,1000,4672.077771
-627.022242,1000,4682.261322
-656.29856,1000,4694.50346
-625.74648,1000,4863.073769
-751.0627,1000,4876.439734
-647.293428,1000,4889.666327
-593.519245,1000,4902.487161
-625.63141,1000,4912.628104
-680.568008,1000,5076.612008
-618.940387,1000,5089.193449
-614.558066,1000,5103.045763
-633.451834,1000,5116.222887
-598.388024,1000,5126.646095
-617.568641,1000,5288.324607
-645.712798,1000,5297.421772
-631.488357,1000,5308.164429
-581.657915,1000,5318.633325
-660.006941,1000,5330.599407
-648.977464,1000,5494.897703
-628.807891,1000,5507.469157
-598.376675,1000,5520.456982
-618.606824,1000,5532.282955
-640.028887,1000,5544.308745
-604.047954,1000,5702.413059
-582.84304,1000,5715.267364
-554.866986,1000,5727.509826
-582.462369,1000,5737.948076
-594.438153,1000,5747.440015
-711.540827,1000,5908.129266
-644.458142,1000,5920.574417
-637.484465,1000,5932.822998
-657.06607,1000,5945.746131
-684.977535,1000,5958.256705
-608.091014,1000,6122.02466
-580.149572,1000,6135.691869
-620.294898,1000,6147.131458
-598.441872,1000,6156.719355
-613.300267,1000,6165.264725
-578.583787,1000,6317.991735
-573.723865,1000,6330.871226
-588.311272,1000,6344.154211
-564.080798,1000,6357.189828
-554.253839,1000,6370.143672
-92.867966,226,6526.586713
-585.792381,1000,6539.512205
-540.83997,1000,6552.381002
-570.933165,1000,6565.013802
-597.53495,1000,6577.494623
-579.646552,1000,6749.47513
-691.781122,1000,6762.097672
-562.719433,1000,6774.900345
-596.605883,1000,6787.736273
-568.996146,1000,6800.504819
-591.193397,1000,6961.284251
-544.70752,1000,6971.743645
-671.072129,1000,6983.903413
-584.602406,1000,6996.219243
-531.258371,1000,7006.210583
-638.358054,1000,7174.778834
-744.468441,1000,7189.221526
-550.718813,1000,7199.191883
-638.090129,1000,7211.880552
-661.103085,1000,7224.426167
-621.055943,1000,7387.74995
-603.808502,1000,7398.864712
-617.645413,1000,7409.235344
-621.942941,1000,7418.113946
-547.073356,1000,7428.362802
-614.14881,1000,7584.464471
-625.698784,1000,7597.168419
-591.344789,1000,7609.592445
-567.391714,1000,7619.66877
-541.022807,1000,7633.70134
-604.917914,1000,7800.934976
-535.222542,1000,7814.676015
-608.879207,1000,7825.040769
-599.209514,1000,7836.33529
-655.319388,1000,7849.130971
-589.49431,1000,8007.584357
-592.383047,1000,8019.132944
-607.736939,1000,8032.027555
-557.433152,1000,8045.464869
-45.49957,85,8046.49566
-606.15088,1000,8204.474825
-627.796183,1000,8216.302305
-626.323999,1000,8230.100956
-612.771007,1000,8238.919384
-563.969767,1000,8250.874585
-669.934292,1000,8422.099111
-594.903268,1000,8432.415648
-643.206308,1000,8445.382928
-551.384011,1000,8458.924407
-580.496605,1000,8468.297664
-545.129143,1000,8632.882663
-613.837025,1000,8646.111338
-618.607565,1000,8659.705804
-593.482553,1000,8668.864362
-639.73204,1000,8681.128455
-618.153867,1000,8852.310342
-575.104546,1000,8863.64949
-769.917973,1000,8876.904653
-636.50794,1000,8890.244295
-614.30908,1000,8903.014688
-586.068399,1000,9074.383822
-734.953574,1000,9087.148354
-586.079405,1000,9096.71963
-664.285029,1000,9106.424866
-571.74435,1000,9119.673465
-609.313778,1000,9285.777424
-612.542094,1000,9298.705983
-627.722408,1000,9311.547732
-585.487194,1000,9323.229209
-611.953611,1000,9335.561201
-628.902547,1000,9504.116598
-635.311631,1000,9515.671426
-571.725645,1000,9528.408282
-551.952284,1000,9541.656121
-660.247831,1000,9550.700909
-593.028728,1000,9712.93826
-512.523611,1000,9723.225591
-623.956231,1000,9735.776541
-535.562544,1000,9744.304117
-529.446966,1000,9757.936157
-549.403864,1000,9920.686368
-511.782681,1000,9932.216461
-571.970361,1000,9945.328315
-587.953933,1000,9957.967382
-601.218897,1000,9970.194354
-614.091912,1000,10132.104889
-602.605996,1000,10140.706744
-647.313655,1000,10153.503601
-585.021416,1000,10166.47152
-644.192407,1000,10175.745995
-564.569657,1000,10349.731973
-598.964446,1000,10362.596839
-571.091613,1000,10375.224863
-607.32116,1000,10386.98429
-592.350588,1000,10400.820756
-572.37141,1000,10573.13669
-320.27779,595,10581.696508
-567.833767,1000,10592.406537
-541.36311,1000,10606.079755
-545.60487,1000,10618.97103
-562.138169,1000,10770.33632
-510.708261,1000,10780.031612
-16.829776,33,10780.645881
-616.357244,1000,10793.932576
-12.574011,26,10794.459584
-599.806565,1000,10954.90385
-596.401664,1000,10963.491819
-537.144871,1000,10977.325935
-582.236261,1000,10988.680255
-518.314261,1000,11002.934718
-582.43653,1000,11171.246939
-549.674525,1000,11184.005703
-522.164362,1000,11199.65945
-566.514925,1000,11211.515159
-572.395568,1000,11224.672418
-582.590437,1000,11393.519559
-572.47835,1000,11404.669766
-578.280051,1000,11416.705515
-568.787771,1000,11428.581982
-563.602814,1000,11440.461978
-589.314066,1000,11606.255807
-591.0448,1000,11615.891375
-584.756369,1000,11627.458893
-575.341523,1000,11641.644555
-581.660041,1000,11651.846707
-578.610989,1000,11819.901853
-663.690487,1000,11833.157036
-518.016752,1000,11843.680798
-551.679438,1000,11857.232404
-625.9261,1000,11867.854898
-623.158744,1000,12032.930949
-564.223795,1000,12043.312214
-566.986438,1000,12053.451823
-516.262842,1000,12063.754442
-638.947344,1000,12076.769121
-615.134849,1000,12247.546637
-635.885576,1000,12260.411727
