"Relative Time (Process)","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MIN","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MAX"
"2250.523038855","431.267","431.267","431.267"
"2265.523076552","430.836","430.836","430.836"
"2280.524607337","426.071","426.071","426.071"
"2295.523449603","431.674","431.674","431.674"
"2310.522361446","431.926","431.926","431.926"
"2325.524046316","426.828","426.828","426.828"
"2340.524324893","433.236","433.236","433.236"
"2355.524095552","431.661","431.661","431.661"
"2370.52482126","424.302","424.302","424.302"
"2385.523875438","433.533","433.533","433.533"
"2400.52314116","431.404","431.404","431.404"
"2415.523474754","433.518","433.518","433.518"
"2430.522189996","437.721","437.721","437.721"
"2445.523313537","429.567","429.567","429.567"
"2460.523366686","430.974","430.974","430.974"
"2475.52353281","424.796","424.796","424.796"
"2490.52318837","430.493","430.493","430.493"
"2505.523654817","431.394","431.394","431.394"
"2520.52448467","428.201","428.201","428.201"
"2535.523180494","434.413","434.413","434.413"
"2550.523808052","431.071","431.071","431.071"
"2565.52335259","425.934","425.934","425.934"
"2580.523942667","431.659","431.659","431.659"
"2595.524051549","432.172","432.172","432.172"
"2610.522801025","425.133","425.133","425.133"
"2625.523218333","436.616","436.616","436.616"
"2640.523857104","432.033","432.033","432.033"
"2655.523868106","428.815","428.815","428.815"
"2670.525194932","432.976","432.976","432.976"
"2685.523402713","427.72","427.72","427.72"
"2700.523896621","430.275","430.275","430.275"
"2715.524125424","431.078","431.078","431.078"
"2730.523792765","430.206","430.206","430.206"
"2745.523864775","429.76","429.76","429.76"
"2760.523280911","427.771","427.771","427.771"
"2775.523751488","434.034","434.034","434.034"
"2790.523893316","431.875","431.875","431.875"
"2805.523542185","427.646","427.646","427.646"
"2820.524808657","430.978","430.978","430.978"
"2835.522676279","432.619","432.619","432.619"
"2850.524293215","425.356","425.356","425.356"
"2865.523041192","429.539","429.539","429.539"
"2880.52356754","431.183","431.183","431.183"
