"Relative Time (Process)","ft1 - system/gpu.0.powerWatts","ft1 - system/gpu.0.powerWatts__MIN","ft1 - system/gpu.0.powerWatts__MAX"
"2280.355276989","427.703","427.703","427.703"
"2295.354054638","429.835","429.835","429.835"
"2310.353852742","432.56","432.56","432.56"
"2325.354107096","425.788","425.788","425.788"
"2340.354418566","427.629","427.629","427.629"
"2355.355117063","425.632","425.632","425.632"
"2370.356140038","422.974","422.974","422.974"
"2385.354362037","425.032","425.032","425.032"
"2400.355384513","430.996","430.996","430.996"
"2415.354297767","422.945","422.945","422.945"
"2430.354391901","426.131","426.131","426.131"
"2445.353870391","426.395","426.395","426.395"
"2460.354243787","426.844","426.844","426.844"
"2475.354032524","427.786","427.786","427.786"
"2490.354767673","421.515","421.515","421.515"
"2505.354381918","425.489","425.489","425.489"
"2520.353653969","428.037","428.037","428.037"
"2535.354075353","422.155","422.155","422.155"
"2550.35382669","423.626","423.626","423.626"
"2565.354150593","427.253","427.253","427.253"
"2580.354132352","422.576","422.576","422.576"
"2595.354077596","424.878","424.878","424.878"
"2610.354278137","427.533","427.533","427.533"
"2625.354161713","424.392","424.392","424.392"
"2640.355240665","431.151","431.151","431.151"
"2655.353870855","427.595","427.595","427.595"
"2670.353873413","422.329","422.329","422.329"
"2685.355657985","429.992","429.992","429.992"
"2700.354318524","427.126","427.126","427.126"
"2715.354029464","424.366","424.366","424.366"
"2730.354276382","421.66","421.66","421.66"
"2745.353918985","427.301","427.301","427.301"
"2760.354383786","421.172","421.172","421.172"
"2775.353978498","425.656","425.656","425.656"
"2790.353793316","426.926","426.926","426.926"
"2805.354296956","424.346","424.346","424.346"
"2820.354607999","433.3","433.3","433.3"
"2835.354268592","427.938","427.938","427.938"
"2850.354409654","429","429","429"
"2865.35408828","431.744","431.744","431.744"
"2880.35390252","427.895","427.895","427.895"
"2895.353781613","428.513","428.513","428.513"
"2910.354380558","432.661","432.661","432.661"
"2925.354280914","422.903","422.903","422.903"
"2940.354054573","426.702","426.702","426.702"
"2955.354297706","432.634","432.634","432.634"
"2970.354219524","424.978","424.978","424.978"
"2985.354291577","428.088","428.088","428.088"
"3000.354111667","421.545","421.545","421.545"
"3015.35431368","423.391","423.391","423.391"
"3030.353392791","426.92","426.92","426.92"
"3045.353888068","420.873","420.873","420.873"
"3060.354224795","425.528","425.528","425.528"
"3075.353901133","426.815","426.815","426.815"
"3090.353447815","424.811","424.811","424.811"
"3105.353889907","428.319","428.319","428.319"
"3120.354388617","426.219","426.219","426.219"
"3135.353886335","424.949","424.949","424.949"
"3150.354379404","425.516","425.516","425.516"
"3165.35537815","426.673","426.673","426.673"
"3180.354008953","423.082","423.082","423.082"
"3195.35476688","424.924","424.924","424.924"
"3210.355497345","426.666","426.666","426.666"
"3225.354104934","419.689","419.689","419.689"
"3240.354018426","427.644","427.644","427.644"
"3255.354109387","427.082","427.082","427.082"
"3270.35429261","423.267","423.267","423.267"
"3285.354441544","428.688","428.688","428.688"
"3300.354153767","427.463","427.463","427.463"
"3315.354606784","418.961","418.961","418.961"
"3330.354009737","430.22","430.22","430.22"
"3345.355086139","426.779","426.779","426.779"
"3360.354461372","422.316","422.316","422.316"
"3375.353718359","434.045","434.045","434.045"
"3390.355870891","428.567","428.567","428.567"
"3405.354449968","424.917","424.917","424.917"
"3420.354140827","425.056","425.056","425.056"
"3435.354184736","426.895","426.895","426.895"
"3450.355123892","428.649","428.649","428.649"
"3465.353915866","432.124","432.124","432.124"
"3480.354005688","422.906","422.906","422.906"
"3495.354472818","425.198","425.198","425.198"
"3510.354206521","430.202","430.202","430.202"
"3525.353599035","422.448","422.448","422.448"
"3540.353888224","427.678","427.678","427.678"
"3555.35424135","426.922","426.922","426.922"
"3570.354264826","425.12","425.12","425.12"
"3585.354306567","425.548","425.548","425.548"
"3600.354212174","419.405","419.405","419.405"
"3615.355095176","422.875","422.875","422.875"
"3630.354416575","425.284","425.284","425.284"
"3645.354085079","422.771","422.771","422.771"
"3660.353568795","425.936","425.936","425.936"
"3675.354683139","427.034","427.034","427.034"
"3690.355988674","423.769","423.769","423.769"
"3705.354527642","427.864","427.864","427.864"
"3720.354283309","426.788","426.788","426.788"
"3735.353829479","423.845","423.845","423.845"
"3750.355198653","423.144","423.144","423.144"
"3765.354213363","427.532","427.532","427.532"
"3780.356052123","421.658","421.658","421.658"
"3795.354497358","428.462","428.462","428.462"
"3810.355327288","426.96","426.96","426.96"
"3825.354066421","423.394","423.394","423.394"
"3840.353984879","429.256","429.256","429.256"
"3855.355962719","426.69","426.69","426.69"
"3870.355320414","422.01","422.01","422.01"
"3885.353957158","424.271","424.271","424.271"
"3900.353817806","426.775","426.775","426.775"
"3915.354457906","422.486","422.486","422.486"
"3930.354144768","429.362","429.362","429.362"
"3945.353695452","426.538","426.538","426.538"
"3960.35418651","423.322","423.322","423.322"
"3975.355348816","430.272","430.272","430.272"
"3990.354184528","427.189","427.189","427.189"
"4005.354447133","427.614","427.614","427.614"
"4020.353691943","427.73","427.73","427.73"
"4035.354014279","424.533","424.533","424.533"
"4050.354824881","428.089","428.089","428.089"
"4065.355328545","433.477","433.477","433.477"
"4080.353523454","425.684","425.684","425.684"
"4095.353596409","426.735","426.735","426.735"
"4110.35602405","425.606","425.606","425.606"
"4125.353815212","424.686","424.686","424.686"
"4140.354428929","427.967","427.967","427.967"
"4155.354343411","421.363","421.363","421.363"
"4170.355535166","422.66","422.66","422.66"
"4185.35425894","427.343","427.343","427.343"
"4200.354835232","423.788","423.788","423.788"
"4215.353696365","426.672","426.672","426.672"
"4230.353859043","426.279","426.279","426.279"
"4245.353509793","424.101","424.101","424.101"
"4260.354638854","426.134","426.134","426.134"
"4275.35520813","426.133","426.133","426.133"
"4290.353643333","423.171","423.171","423.171"
"4305.354998304","427.273","427.273","427.273"
"4320.353611968","427.365","427.365","427.365"
"4335.354146","422.644","422.644","422.644"
"4350.353907701","423.602","423.602","423.602"
"4365.353862376","426.634","426.634","426.634"
"4380.353724992","423.789","423.789","423.789"
"4395.353560685","426.175","426.175","426.175"
"4410.355274474","426.799","426.799","426.799"
"4425.3537931","421.878","421.878","421.878"
"4440.354128028","428.249","428.249","428.249"
"4455.355191409","426.942","426.942","426.942"
"4470.353658399","422.308","422.308","422.308"
"4485.35390046","430.705","430.705","430.705"
"4500.353683691","426.547","426.547","426.547"
"4515.354398785","421.919","421.919","421.919"
"4530.354632593","426.818","426.818","426.818"
"4545.354352195","420.001","420.001","420.001"
"4560.353884207","422.754","422.754","422.754"
"4575.355395303","426.585","426.585","426.585"
"4590.354443768","422.173","422.173","422.173"
"4605.355413706","422.986","422.986","422.986"
"4620.354546255","427.286","427.286","427.286"
"4635.354004667","424.707","424.707","424.707"
"4650.354785256","433.972","433.972","433.972"
"4665.354401826","427.738","427.738","427.738"
"4680.354119044","420.824","420.824","420.824"
"4695.355791324","427.905","427.905","427.905"
"4710.353961487","427.083","427.083","427.083"
"4725.354340232","418.848","418.848","418.848"
"4740.354303595","425.36","425.36","425.36"
"4755.355197649","426.619","426.619","426.619"
"4770.35437733","425.543","425.543","425.543"
"4785.353907729","426.432","426.432","426.432"
"4800.353433322","427.178","427.178","427.178"
"4815.354046907","429.904","429.904","429.904"
"4830.354304258","426.999","426.999","426.999"
"4845.354789746","425.548","425.548","425.548"
"4860.354275083","426.003","426.003","426.003"
"4875.353760878","425.388","425.388","425.388"
"4890.354958591","424.643","424.643","424.643"
"4905.35435435","427.453","427.453","427.453"
"4920.354027247","418.161","418.161","418.161"
"4935.353973886","426.474","426.474","426.474"
"4950.353550328","426.599","426.599","426.599"
"4965.354803961","423.101","423.101","423.101"
"4980.355053326","423.879","423.879","423.879"
"4995.355016601","427.504","427.504","427.504"
"5010.353824906","422.395","422.395","422.395"
"5025.353960391","426.404","426.404","426.404"
"5040.354269334","427.311","427.311","427.311"
"5055.354141348","421.556","421.556","421.556"
"5070.354747748","425.227","425.227","425.227"
"5085.354309582","426.354","426.354","426.354"
"5100.354644233","419.193","419.193","419.193"
"5115.353889411","422.309","422.309","422.309"
"5130.354228219","426.553","426.553","426.553"
"5145.354397078","421.581","421.581","421.581"
"5160.353843541","425.698","425.698","425.698"
"5175.355451074","428.264","428.264","428.264"
"5190.354418271","421.872","421.872","421.872"
"5205.353993664","427.657","427.657","427.657"
"5220.35414286","427.479","427.479","427.479"
"5235.353731945","428.191","428.191","428.191"
"5250.354111992","430.771","430.771","430.771"
"5265.353540733","427.85","427.85","427.85"
"5280.354459005","426.949","426.949","426.949"
"5295.354604109","430.467","430.467","430.467"
"5310.353847654","422.449","422.449","422.449"
"5325.354083477","426.104","426.104","426.104"
"5340.354236892","430.916","430.916","430.916"
"5355.354112288","426.633","426.633","426.633"
"5370.354237238","426.723","426.723","426.723"
"5385.354415367","421.945","421.945","421.945"
"5400.35404502","428.677","428.677","428.677"
"5415.353567953","426.73","426.73","426.73"
"5430.354461541","420.654","420.654","420.654"
"5445.354447781","423.489","423.489","423.489"
"5460.353622197","426.721","426.721","426.721"
"5475.353904621","421.885","421.885","421.885"
"5490.353818846","422.642","422.642","422.642"
"5505.354089031","427.485","427.485","427.485"
"5520.354257747","425.169","425.169","425.169"
"5535.353918525","425.066","425.066","425.066"
"5550.353720865","425.851","425.851","425.851"
"5565.353863885","419.522","419.522","419.522"
"5580.353894709","425.588","425.588","425.588"
"5595.35436221","426.66","426.66","426.66"
"5610.354017691","421.498","421.498","421.498"
"5625.354526325","427.547","427.547","427.547"
"5640.353695016","422.059","422.059","422.059"
"5655.354749816","426.589","426.589","426.589"
"5670.355634221","422.43","422.43","422.43"
"5685.355106519","423.415","423.415","423.415"
"5700.354270775","427.813","427.813","427.813"
"5715.354282569","421.678","421.678","421.678"
"5730.353801791","423.907","423.907","423.907"
"5745.354848485","427.003","427.003","427.003"
"5760.354037611","422.346","422.346","422.346"
"5775.354444781","423.911","423.911","423.911"
"5790.35370457","428.215","428.215","428.215"
"5805.356492999","422.703","422.703","422.703"
"5820.354253679","422.741","422.741","422.741"
"5835.353586536","426.544","426.544","426.544"
"5850.354177231","421.356","421.356","421.356"
"5865.355538271","424.017","424.017","424.017"
"5880.353584736","426.839","426.839","426.839"
"5895.355025885","423.652","423.652","423.652"
"5910.353878299","427.333","427.333","427.333"
"5925.354026188","427.43","427.43","427.43"
"5940.353539744","420.017","420.017","420.017"
"5955.354402246","431.878","431.878","431.878"
"5970.354129811","427.921","427.921","427.921"
"5985.354208671","423.003","423.003","423.003"
"6000.355658477","431.487","431.487","431.487"
"6015.354441361","427.358","427.358","427.358"
"6030.353899618","428.217","428.217","428.217"
"6045.353983902","422.923","422.923","422.923"
"6060.353751621","425.689","425.689","425.689"
"6075.353716004","428.911","428.911","428.911"
"6090.354329603","429.211","429.211","429.211"
"6105.354400979","423.954","423.954","423.954"
"6120.354172846","426.747","426.747","426.747"
"6135.354579326","429.008","429.008","429.008"
"6150.3544339","425.685","425.685","425.685"
"6165.354190839","426.152","426.152","426.152"
"6180.355389047","421.018","421.018","421.018"
"6195.353870033","424.942","424.942","424.942"
"6210.354713521","427.152","427.152","427.152"
"6225.354922816","422.952","422.952","422.952"
"6240.353749106","423.752","423.752","423.752"
"6255.353791954","426.738","426.738","426.738"
"6270.355916313","422.99","422.99","422.99"
"6285.354832259","421.915","421.915","421.915"
"6300.353878667","427.325","427.325","427.325"
"6315.355405792","423.643","423.643","423.643"
"6330.353799242","425.807","425.807","425.807"
"6345.355450269","426.846","426.846","426.846"
"6360.353411475","418.736","418.736","418.736"
"6375.35386437","427.6","427.6","427.6"
"6390.353879306","427.17","427.17","427.17"
"6405.354112997","421.867","421.867","421.867"
"6420.354877584","425.98","425.98","425.98"
"6435.353946785","426.162","426.162","426.162"
"6450.355183974","420.637","420.637","420.637"
"6465.354662036","429.634","429.634","429.634"
"6480.353836015","427.841","427.841","427.841"
"6495.354098055","427.344","427.344","427.344"
"6510.353728515","426.605","426.605","426.605"
"6525.354514833","425.712","425.712","425.712"
"6540.354783987","429.271","429.271","429.271"
"6555.353828653","432.745","432.745","432.745"
"6570.354033284","422.179","422.179","422.179"
"6585.353949427","427.883","427.883","427.883"
"6600.354596852","431.546","431.546","431.546"
"6615.353839105","422.36","422.36","422.36"
"6630.35470245","427.323","427.323","427.323"
"6645.355037905","423.018","423.018","423.018"
"6660.353989424","424.03","424.03","424.03"
"6675.354478415","426.76","426.76","426.76"
"6690.356907389","420.183","420.183","420.183"
"6705.35388163","427.396","427.396","427.396"
"6720.354609301","427.822","427.822","427.822"
"6735.354290141","421.717","421.717","421.717"
"6750.353702752","425.922","425.922","425.922"
"6765.354601242","426.87","426.87","426.87"
"6780.353791809","422.914","422.914","422.914"
"6795.354125599","428.203","428.203","428.203"
"6810.354061704","427.403","427.403","427.403"
"6825.354269007","419.63","419.63","419.63"
"6840.354462039","422.44","422.44","422.44"
"6855.353619216","426.689","426.689","426.689"
"6870.353927119","424.726","424.726","424.726"
"6885.3546308","427.07","427.07","427.07"
"6900.353407258","426.746","426.746","426.746"
"6915.35402733","421.872","421.872","421.872"
"6930.354985853","424.885","424.885","424.885"
"6945.354220063","426.394","426.394","426.394"
"6960.353862848","423.027","423.027","423.027"
"6975.353761297","430.866","430.866","430.866"
"6990.355075314","426.871","426.871","426.871"
"7005.353526017","428.597","428.597","428.597"
"7020.355644939","427.152","427.152","427.152"
"7035.353854735","422.199","422.199","422.199"
"7050.353938153","425.713","425.713","425.713"
"7065.354279786","431.821","431.821","431.821"
"7080.355879765","424.302","424.302","424.302"
"7095.35460233","426.786","426.786","426.786"
"7110.353778368","427.345","427.345","427.345"
"7125.354093431","425.717","425.717","425.717"
"7140.354136461","427.398","427.398","427.398"
"7155.354304368","423.443","423.443","423.443"
"7170.353975225","424.42","424.42","424.42"
"7185.354290763","426.654","426.654","426.654"
"7200.353991324","423.513","423.513","423.513"
"7215.353521483","422.555","422.555","422.555"
"7230.354097558","427.525","427.525","427.525"
"7245.354227355","421.753","421.753","421.753"
"7260.354239389","423.909","423.909","423.909"
"7275.353529217","427.62","427.62","427.62"
"7290.353813608","419.667","419.667","419.667"
"7305.354041793","426.493","426.493","426.493"
"7320.355051376","427.496","427.496","427.496"
"7335.354647806","421.838","421.838","421.838"
"7350.35460764","427.426","427.426","427.426"
"7365.354082638","428.068","428.068","428.068"
"7380.35424875","423.192","423.192","423.192"
"7395.355802779","429.118","429.118","429.118"
"7410.354233331","428.318","428.318","428.318"
"7425.354076477","424.026","424.026","424.026"
"7440.354925325","436.583","436.583","436.583"
"7455.353999359","427.608","427.608","427.608"
"7470.354537729","429.369","429.369","429.369"
"7485.354747297","426.704","426.704","426.704"
"7500.354361542","422.535","422.535","422.535"
"7515.35425128","426.419","426.419","426.419"
"7530.356138751","427.083","427.083","427.083"
"7545.355358407","424.982","424.982","424.982"
