,mean_power_W,energy_Wh,duration_s
Hanoi_seed3_ep72_090254,98.49604166666667,1.3298070695867477,48.604039
Hanoi_seed3_ep73_090347,99.20148936170213,1.3264222324643025,48.135568
Hanoi_seed3_ep74_090439,98.30978723404256,1.3000138356416076,47.605126
Hanoi_seed3_ep75_090531,99.00127659574468,1.320010888697518,47.999777
Hanoi_seed3_ep76_090624,99.67872340425532,1.3152310455218674,47.500927
Hanoi_seed3_ep77_090716,99.71562499999999,1.3565698084131943,48.975788
Hanoi_seed3_ep78_090809,99.71489361702127,1.3197094992978722,47.645382
Hanoi_seed3_ep79_090901,99.27638297872342,1.314654347475,47.672523
Hanoi_seed3_ep80_090954,99.02229166666666,1.33779017019375,48.635964
Hanoi_seed3_ep81_091046,99.21702127659574,1.312092631602837,47.608096
Hanoi_seed3_ep82_091139,99.05574468085106,1.3031476602978722,47.36052
Hanoi_seed3_ep83_091231,98.58595744680851,1.3132771221030732,47.956096
Hanoi_seed3_ep84_091324,99.26808510638297,1.3291292619574469,48.201447
Hanoi_seed3_ep85_091416,98.74148936170212,1.3161136821489359,47.983976
Hanoi_seed3_ep86_091509,99.06297872340426,1.304333154859811,47.400143
Hanoi_seed3_ep87_091602,98.52702127659576,1.308746493177128,47.819241
Hanoi_seed3_ep88_091654,98.89276595744681,1.3197128087957448,48.041594
Hanoi_seed3_ep89_091746,98.49808510638297,1.30066472401708,47.537909
Hanoi_seed3_ep90_091839,98.30489361702128,1.308712049705851,47.926031
Hanoi_seed3_ep91_091932,98.48531914893617,1.3138669545118793,48.026661
Hanoi_seed3_ep92_092024,97.80617021276596,1.2892360535799052,47.453548
Hanoi_seed3_ep93_092117,99.15659574468086,1.3109575603030734,47.595898
Hanoi_seed3_ep94_092210,97.69191489361702,1.2932578079877068,47.657251
Hanoi_seed3_ep95_092302,97.48489361702127,1.2896265203358157,47.624358
Hanoi_seed3_ep96_092355,97.94021276595744,1.297642199206383,47.697588
Hanoi_seed3_ep97_092448,97.54425531914893,1.2972850547867611,47.878024
Hanoi_seed3_ep98_092540,97.30234042553192,1.288332314114953,47.665825
Hanoi_seed3_ep99_092633,97.60702127659575,1.296535455822518,47.819589
Hanoi_seed3_ep100_092725,97.75659574468085,1.307406894468085,48.146775
