"Step","pi_hanoi_300_subtasks_no_masking - loss","pi_hanoi_300_subtasks_no_masking - loss__MIN","pi_hanoi_300_subtasks_no_masking - loss__MAX"
"0","0.16990813612937927","0.16990813612937927","0.16990813612937927"
"100","0.15839189291000366","0.15839189291000366","0.15839189291000366"
"200","0.10670530050992966","0.10670530050992966","0.10670530050992966"
"300","0.08631663769483566","0.08631663769483566","0.08631663769483566"
"400","0.0697549358010292","0.0697549358010292","0.0697549358010292"
"500","0.06414531916379929","0.06414531916379929","0.06414531916379929"
"600","0.05537042021751404","0.05537042021751404","0.05537042021751404"
"700","0.0508967787027359","0.0508967787027359","0.0508967787027359"
"800","0.046779412776231766","0.046779412776231766","0.046779412776231766"
"900","0.0431150458753109","0.0431150458753109","0.0431150458753109"
"1000","0.04071540758013725","0.04071540758013725","0.04071540758013725"
"1100","0.03834062069654465","0.03834062069654465","0.03834062069654465"
"1200","0.03623412549495697","0.03623412549495697","0.03623412549495697"
"1300","0.034494586288928986","0.034494586288928986","0.034494586288928986"
"1400","0.03352080285549164","0.03352080285549164","0.03352080285549164"
"1500","0.03208213672041893","0.03208213672041893","0.03208213672041893"
"1600","0.03155278414487839","0.03155278414487839","0.03155278414487839"
"1700","0.030108291655778885","0.030108291655778885","0.030108291655778885"
"1800","0.029291586950421333","0.029291586950421333","0.029291586950421333"
"1900","0.028340047225356102","0.028340047225356102","0.028340047225356102"
"2000","0.027483155950903893","0.027483155950903893","0.027483155950903893"
"2100","0.027615107595920563","0.027615107595920563","0.027615107595920563"
"2200","0.02746473252773285","0.02746473252773285","0.02746473252773285"
"2300","0.02586447261273861","0.02586447261273861","0.02586447261273861"
"2400","0.025861326605081558","0.025861326605081558","0.025861326605081558"
"2500","0.02563498727977276","0.02563498727977276","0.02563498727977276"
"2600","0.025277240201830864","0.025277240201830864","0.025277240201830864"
"2700","0.024549825116991997","0.024549825116991997","0.024549825116991997"
"2800","0.0246318019926548","0.0246318019926548","0.0246318019926548"
"2900","0.025576185435056686","0.025576185435056686","0.025576185435056686"
"3000","0.02394391968846321","0.02394391968846321","0.02394391968846321"
"3100","0.023227183148264885","0.023227183148264885","0.023227183148264885"
"3200","0.024064984172582626","0.024064984172582626","0.024064984172582626"
"3300","0.022718576714396477","0.022718576714396477","0.022718576714396477"
"3400","0.022800100967288017","0.022800100967288017","0.022800100967288017"
"3500","0.021962497383356094","0.021962497383356094","0.021962497383356094"
"3600","0.022432781755924225","0.022432781755924225","0.022432781755924225"
"3700","0.02259414829313755","0.02259414829313755","0.02259414829313755"
"3800","0.022183820605278015","0.022183820605278015","0.022183820605278015"
"3900","0.021642562001943588","0.021642562001943588","0.021642562001943588"
"4000","0.021749600768089294","0.021749600768089294","0.021749600768089294"
"4100","0.021246658638119698","0.021246658638119698","0.021246658638119698"
"4200","0.02194269560277462","0.02194269560277462","0.02194269560277462"
"4300","0.020828308537602425","0.020828308537602425","0.020828308537602425"
"4400","0.02177632972598076","0.02177632972598076","0.02177632972598076"
"4500","0.02096409723162651","0.02096409723162651","0.02096409723162651"
"4600","0.020089592784643173","0.020089592784643173","0.020089592784643173"
"4700","0.020382113754749298","0.020382113754749298","0.020382113754749298"
"4800","0.02035325951874256","0.02035325951874256","0.02035325951874256"
"4900","0.020325226709246635","0.020325226709246635","0.020325226709246635"
"5000","0.020063281059265137","0.020063281059265137","0.020063281059265137"
"5100","0.019977523013949394","0.019977523013949394","0.019977523013949394"
"5200","0.02039475180208683","0.02039475180208683","0.02039475180208683"
"5300","0.0195783544331789","0.0195783544331789","0.0195783544331789"
"5400","0.020227141678333282","0.020227141678333282","0.020227141678333282"
"5500","0.019465161487460136","0.019465161487460136","0.019465161487460136"
"5600","0.019226612523198128","0.019226612523198128","0.019226612523198128"
"5700","0.019095266237854958","0.019095266237854958","0.019095266237854958"
"5800","0.01968541368842125","0.01968541368842125","0.01968541368842125"
"5900","0.018744593486189842","0.018744593486189842","0.018744593486189842"
"6000","0.018749171867966652","0.018749171867966652","0.018749171867966652"
"6100","0.019379422068595886","0.019379422068595886","0.019379422068595886"
"6200","0.01901901327073574","0.01901901327073574","0.01901901327073574"
"6300","0.018544146791100502","0.018544146791100502","0.018544146791100502"
"6400","0.01887417398393154","0.01887417398393154","0.01887417398393154"
"6500","0.01831989176571369","0.01831989176571369","0.01831989176571369"
"6600","0.018420623615384102","0.018420623615384102","0.018420623615384102"
"6700","0.017784416675567627","0.017784416675567627","0.017784416675567627"
"6800","0.018742047250270844","0.018742047250270844","0.018742047250270844"
"6900","0.018053682520985603","0.018053682520985603","0.018053682520985603"
"7000","0.018786976113915443","0.018786976113915443","0.018786976113915443"
"7100","0.018654774874448776","0.018654774874448776","0.018654774874448776"
"7200","0.018717948347330093","0.018717948347330093","0.018717948347330093"
"7300","0.017850637435913086","0.017850637435913086","0.017850637435913086"
"7400","0.01812051609158516","0.01812051609158516","0.01812051609158516"
"7500","0.018283016979694366","0.018283016979694366","0.018283016979694366"
"7600","0.01760558970272541","0.01760558970272541","0.01760558970272541"
"7700","0.017935384064912796","0.017935384064912796","0.017935384064912796"
"7800","0.0177468229085207","0.0177468229085207","0.0177468229085207"
"7900","0.01767158880829811","0.01767158880829811","0.01767158880829811"
"8000","0.017020348459482193","0.017020348459482193","0.017020348459482193"
"8100","0.017971007153391838","0.017971007153391838","0.017971007153391838"
"8200","0.016843680292367935","0.016843680292367935","0.016843680292367935"
"8300","0.017245884984731674","0.017245884984731674","0.017245884984731674"
"8400","0.017381714656949043","0.017381714656949043","0.017381714656949043"
"8500","0.017780771479010582","0.017780771479010582","0.017780771479010582"
"8600","0.017436601221561432","0.017436601221561432","0.017436601221561432"
"8700","0.018029574304819107","0.018029574304819107","0.018029574304819107"
"8800","0.01707988791167736","0.01707988791167736","0.01707988791167736"
"8900","0.017171649262309074","0.017171649262309074","0.017171649262309074"
"9000","0.01742747612297535","0.01742747612297535","0.01742747612297535"
"9100","0.01674898900091648","0.01674898900091648","0.01674898900091648"
"9200","0.01694243960082531","0.01694243960082531","0.01694243960082531"
"9300","0.0171516016125679","0.0171516016125679","0.0171516016125679"
"9400","0.01669793762266636","0.01669793762266636","0.01669793762266636"
"9500","0.016506601125001907","0.016506601125001907","0.016506601125001907"
"9600","0.016548512503504753","0.016548512503504753","0.016548512503504753"
"9700","0.016709666699171066","0.016709666699171066","0.016709666699171066"
"9800","0.016439814120531082","0.016439814120531082","0.016439814120531082"
"9900","0.016329843550920486","0.016329843550920486","0.016329843550920486"
"10000","0.0168730691075325","0.0168730691075325","0.0168730691075325"
"10100","0.015965048223733902","0.015965048223733902","0.015965048223733902"
"10200","0.016104640439152718","0.016104640439152718","0.016104640439152718"
"10300","0.016063986346125603","0.016063986346125603","0.016063986346125603"
"10400","0.016522705554962158","0.016522705554962158","0.016522705554962158"
"10500","0.01631719060242176","0.01631719060242176","0.01631719060242176"
"10600","0.015868300572037697","0.015868300572037697","0.015868300572037697"
"10700","0.016321726143360138","0.016321726143360138","0.016321726143360138"
"10800","0.015876956284046173","0.015876956284046173","0.015876956284046173"
"10900","0.01589919626712799","0.01589919626712799","0.01589919626712799"
"11000","0.015621497295796871","0.015621497295796871","0.015621497295796871"
"11100","0.0163288451731205","0.0163288451731205","0.0163288451731205"
"11200","0.01625155471265316","0.01625155471265316","0.01625155471265316"
"11300","0.015854690223932266","0.015854690223932266","0.015854690223932266"
"11400","0.015827685594558716","0.015827685594558716","0.015827685594558716"
"11500","0.01557063590735197","0.01557063590735197","0.01557063590735197"
"11600","0.015846502035856247","0.015846502035856247","0.015846502035856247"
"11700","0.016049105674028397","0.016049105674028397","0.016049105674028397"
"11800","0.015956873074173927","0.015956873074173927","0.015956873074173927"
"11900","0.015513049438595772","0.015513049438595772","0.015513049438595772"
"12000","0.015570041723549366","0.015570041723549366","0.015570041723549366"
"12100","0.015227378346025944","0.015227378346025944","0.015227378346025944"
"12200","0.015121490694582462","0.015121490694582462","0.015121490694582462"
"12300","0.01584814488887787","0.01584814488887787","0.01584814488887787"
"12400","0.014987769536674023","0.014987769536674023","0.014987769536674023"
"12500","0.01537178922444582","0.01537178922444582","0.01537178922444582"
"12600","0.015128019265830517","0.015128019265830517","0.015128019265830517"
"12700","0.015323609113693237","0.015323609113693237","0.015323609113693237"
"12800","0.015255042351782322","0.015255042351782322","0.015255042351782322"
"12900","0.015112430788576603","0.015112430788576603","0.015112430788576603"
"13000","0.014850742183625698","0.014850742183625698","0.014850742183625698"
"13100","0.014835632406175137","0.014835632406175137","0.014835632406175137"
