                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3275,                 5.0404,                 1.6167,                0.41921,                0.49072,                0.34943,                 0.2115,                 1.4457,                 3.4784,                 1.1402,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.8144,                 2.3291,                 1.2266,                0.34941,                0.54167,                0.41109,                0.27836,                  1.098,                 3.0602,                 0.9987,              0.0002135,              0.0002135,              0.0002135
                      3,                 1.6706,                 1.9111,                 1.2193,                0.31452,                  0.875,                0.38553,                0.26968,                 1.1073,                 3.3245,                0.99915,             0.00032607,             0.00032607,             0.00032607
                      4,                 1.6098,                 1.6495,                 1.1672,                0.38402,                0.95833,                0.47789,                0.31827,                 1.1873,                 5.8252,                 1.0086,             0.00043773,             0.00043773,             0.00043773
                      5,                  1.576,                 1.5569,                 1.1107,                0.45501,                0.70833,                0.54878,                0.37619,                 1.2288,                 2.1304,                 1.0176,             0.00054848,             0.00054848,             0.00054848
                      6,                 1.5998,                 1.4657,                 1.1991,                0.56299,                    0.5,                0.55907,                0.34805,                 1.2867,                 1.9136,                   1.06,             0.00065833,             0.00065833,             0.00065833
                      7,                 1.5882,                 1.3796,                 1.1761,                 0.6919,                0.67273,                0.73625,                0.48615,                 1.1646,                 1.5464,                 1.0321,             0.00076728,             0.00076728,             0.00076728
                      8,                 1.5293,                 1.2897,                 1.1373,                0.64436,                0.83566,                0.73976,                0.50012,                  1.103,                 1.5652,                 1.0038,             0.00087531,             0.00087531,             0.00087531
                      9,                 1.5849,                  1.328,                 1.1661,                0.58045,                  0.875,                0.71233,                0.47057,                 1.2458,                 1.4708,                 1.0526,             0.00098245,             0.00098245,             0.00098245
                     10,                 1.4869,                 1.2252,                 1.1016,                 0.6941,                0.81779,                0.70906,                0.52283,                 1.1279,                 1.3897,                  1.005,              0.0010887,              0.0010887,              0.0010887
                     11,                 1.4912,                 1.1736,                 1.1147,                0.65083,                0.75358,                0.77292,                0.49898,                  1.279,                 1.5812,                 1.0631,               0.001194,               0.001194,               0.001194
                     12,                 1.5181,                 1.1965,                 1.1731,                0.69394,                0.84503,                 0.7748,                 0.5137,                 1.1821,                 1.3086,                 1.0348,              0.0012984,              0.0012984,              0.0012984
