#{"t_start": 1738641857.8981974, "env_id": "None"}
r,l,t
-311.75336,100,1997.058334
-317.130718,100,2003.247214
-317.295252,100,2008.702848
-315.223859,100,2014.434495
-315.04333,100,2026.836977
-311.242365,100,2041.08253
-123.193395,39,2044.43527
-310.988131,100,2051.40754
-313.128819,100,2057.77919
-309.612952,100,2064.698244
-312.761844,100,2071.084025
-320.157998,100,2076.410315
-311.077549,100,2083.329052
-311.049373,100,2090.509877
-310.161462,100,2100.486349
-311.526111,100,2111.957006
-316.052616,100,2125.040386
-311.350793,100,2133.223514
-313.958847,100,2138.498513
-315.972915,100,2144.246133
-318.323974,100,2150.279863
-325.373924,100,2158.817874
-316.70823,100,2164.571246
-313.29692,100,2172.290431
-318.187709,100,2177.677353
-313.168864,100,2184.528495
-315.713354,100,2189.963943
-316.687309,100,2195.493756
-313.442914,100,2201.680902
-320.882657,100,2207.789187
-312.27659,100,2217.629281
-93.686252,30,2219.946201
-314.18737,100,2232.457495
-318.250579,100,2244.779777
-314.763023,100,2251.407175
-315.675137,100,2262.517946
-320.756622,100,2270.627832
-317.688609,100,2283.742731
-318.028964,100,2290.176227
-320.187351,100,2295.585789
-320.456846,100,2301.039366
-325.940492,100,2311.944591
-320.819595,100,2324.11123
-313.985632,100,2331.996768
-318.989043,100,2339.034482
-319.582131,100,2344.552624
-323.044444,100,2356.862586
-313.991144,100,2362.638651
-318.361779,100,2368.140049
-322.975742,100,2373.280643
-318.396705,100,2379.256159
-318.322241,100,2385.318113
-319.368384,100,2391.922803
-321.405458,100,2404.69304
-316.807745,100,2412.655264
-318.903819,100,2418.02866
-313.944956,100,2424.963013
-311.378895,100,2440.222215
-313.947769,100,2446.312875
-309.669792,100,2456.336317
-323.254353,100,2462.49782
-316.931871,100,2467.963659
-318.11111,100,2473.587486
-314.093476,100,2480.409559
-311.128269,100,2486.530263
-316.958999,100,2493.495257
-314.457101,100,2499.149743
-319.809892,100,2504.281651
-324.569607,100,2510.298205
-316.825245,100,2518.404088
-312.27211,100,2568.929953
-317.558524,100,2578.669827
-314.669453,100,2588.192198
-321.328784,100,2600.588636
-328.03262,100,2607.463525
-321.030726,100,2613.416924
-315.505603,100,2619.649314
-321.120424,100,2626.971004
-324.661847,100,2634.910329
-312.402663,100,2641.871367
-316.869947,100,2647.863578
-313.04916,100,2654.974534
-311.772212,100,2662.2113
-313.491822,100,2668.113044
-316.191483,100,2673.348957
-310.697233,100,2687.220816
-310.02865,100,2697.874554
-234.682907,76,2704.896193
-317.425507,100,2717.661244
-318.203938,100,2723.002668
-314.597201,100,2729.45782
-319.321602,100,2736.304112
-314.031129,100,2742.879827
-311.983568,100,2749.536399
-315.776422,100,2758.252749
-311.501062,100,2765.870291
-312.965376,100,2771.804151
-94.686754,30,2773.906976
-312.276183,100,2780.150818
-311.373309,100,2787.995492
-316.357978,100,2793.904706
-74.918386,24,2795.868861
-314.485106,100,2802.117963
-321.401514,100,2807.543487
-313.108711,100,2816.274673
-313.809274,100,2829.65115
-309.843759,100,2836.794215
-310.853705,100,2842.789771
-229.080282,74,2848.730597
-313.536303,100,2862.076833
-318.424939,100,2875.154681
-136.489967,44,2881.747173
-311.319975,100,2887.785167
-115.048385,37,2893.586524
-310.713881,100,2907.242965
-311.587764,100,2912.781413
-311.358075,100,2920.653161
-312.061591,100,2927.080828
-179.447504,58,2932.932193
-311.205183,100,2941.943664
-314.68611,100,2953.95369
-311.582751,100,2965.865039
-316.314498,100,2974.754003
-311.698324,100,2981.916161
-310.739671,100,2988.639903
-317.162158,100,2997.518651
-314.047907,100,3003.2143
-214.075002,69,3008.222288
-313.96565,100,3014.36295
-313.471261,100,3027.370223
-312.015321,100,3033.918989
-312.841908,100,3040.995057
-310.503503,100,3047.789126
-312.962711,100,3056.155571
-313.117194,100,3061.968892
-315.328678,100,3068.40136
-315.467829,100,3074.223387
-313.23536,100,3087.596204
-316.479727,100,3100.717036
-314.702535,100,3107.034284
-314.466781,100,3117.565868
-317.879327,100,3124.095846
-231.303237,74,3129.396945
-312.922883,100,3139.149485
-309.871075,100,3146.676869
-99.145649,32,3149.371876
-309.970651,100,3157.783094
-309.748449,100,3164.922922
-311.011241,100,3173.125793
-311.360448,100,3185.405618
-311.693076,100,3191.34654
-311.139662,100,3198.827548
-309.628953,100,3205.384945
-316.49405,100,3218.873474
-309.020939,100,3227.247676
-313.03049,100,3236.218641
-309.095912,100,3243.725147
-311.93014,100,3250.207963
-313.690478,100,3255.828582
-310.343758,100,3263.29156
-317.73022,100,3268.953107
-245.984745,79,3274.400528
-119.565809,38,3277.132645
-317.125732,100,3282.378873
-311.948669,100,3296.149117
-312.513471,100,3306.562011
-316.104821,100,3312.229046
-315.749755,100,3318.131528
-313.30873,100,3324.438938
-313.188342,100,3331.129212
-314.302069,100,3337.225362
-314.837761,100,3343.484845
-309.826759,100,3352.353418
