#{"t_start": 1738640811.392041, "env_id": "None"}
r,l,t
-315.658198,100,2034.604175
-316.866997,100,2043.059527
-316.60576,100,2051.763246
-311.906388,100,2063.026846
-314.420726,100,2072.777113
-311.237612,100,2082.679794
-309.303109,100,2092.015506
-309.219949,100,2103.996795
-314.157783,100,2113.604857
-315.38515,100,2124.566135
-311.057634,100,2134.560556
-310.664738,100,2145.032956
-310.599395,100,2156.448406
-308.33183,100,2169.347985
-308.899778,100,2182.40532
-312.833508,100,2191.621284
-70.766646,23,2194.662128
-310.006132,100,2206.305086
-309.452846,100,2218.200659
-307.226377,100,2230.294285
-307.149859,100,2244.907606
-308.77,100,2257.369446
-312.703636,100,2265.566102
-308.760189,100,2278.356637
-309.66891,100,2290.273982
-310.818584,100,2301.853171
-310.219796,100,2312.878735
-64.814496,21,2315.395607
-308.307084,100,2328.231202
-310.139113,100,2337.811124
-310.086794,100,2348.939224
-76.695885,25,2352.041243
-308.721623,100,2367.397755
-80.034868,26,2371.67746
-90.607924,29,2375.032291
-311.346864,100,2384.486239
-311.111234,100,2394.228307
-316.101445,100,2405.063077
-311.088684,100,2412.882295
-311.8665,100,2424.420516
-313.188715,100,2434.120468
-308.566196,100,2447.590964
-308.87168,100,2461.813445
-310.990714,100,2472.111465
-308.133719,100,2487.434149
-310.131545,100,2500.074883
-311.56604,100,2509.802167
-309.205158,100,2522.826869
-312.695901,100,2531.521146
-314.048178,100,2543.251543
-87.590968,28,2547.441488
-83.087365,27,2551.539058
-309.227777,100,2564.209045
-309.57659,100,2575.355616
-308.213973,100,2588.557828
-87.502915,28,2591.289323
-306.949452,100,2607.964446
-311.559578,100,2618.612447
-81.120817,26,2621.497583
-90.603603,29,2624.903064
-87.816736,28,2628.505443
-307.985587,100,2641.874977
-311.53354,100,2653.335125
-77.210917,25,2657.155185
-89.810891,29,2661.384734
-311.275509,100,2674.361319
-311.562666,100,2684.666189
-313.179696,100,2693.772963
-310.965658,100,2705.96755
-309.040973,100,2719.069817
-311.672003,100,2731.468195
-307.754839,100,2742.649517
-314.560289,100,2753.274482
-307.682343,100,2766.419303
-312.8388,100,2776.036699
-307.144917,100,2833.509463
-310.793409,100,2846.17399
-309.551306,100,2860.206936
-309.600439,100,2871.470915
-310.528621,100,2883.76246
-308.580726,100,2898.365075
-313.247501,100,2909.239511
-74.400139,24,2911.659029
-74.333266,24,2914.006248
-83.61001,27,2917.196584
-308.799167,100,2930.877276
-311.873956,100,2940.27965
-310.291146,100,2950.898373
-310.225159,100,2964.42747
-308.444273,100,2977.584091
-307.621413,100,2989.58152
-311.208994,100,3000.729681
-309.699604,100,3013.650439
-310.279624,100,3027.720583
-86.695013,28,3031.698661
-80.331282,26,3035.348381
-87.23182,28,3039.01971
-83.447034,27,3042.2877
-308.725889,100,3058.013967
-308.01597,100,3071.102153
-94.3288,30,3075.193062
-83.671136,27,3079.4352
-93.632397,30,3083.920582
-84.345312,27,3086.559571
-311.081247,100,3098.792451
-309.897164,100,3110.504317
-310.662599,100,3121.560398
-83.756873,27,3124.651928
-308.763973,100,3138.862794
-55.700184,18,3142.022679
-67.897043,22,3145.180094
-62.289503,20,3147.142038
-80.780022,26,3150.956663
-309.467802,100,3163.547864
-58.585602,19,3165.704545
-67.762597,22,3168.581844
-309.515512,100,3181.307567
-308.4538,100,3197.078761
-308.745746,100,3214.046806
-311.507824,100,3222.83085
-308.34489,100,3239.031023
-311.126297,100,3248.95262
-308.111248,100,3265.296804
-312.503378,100,3274.752217
-309.735048,100,3286.736369
-308.995109,100,3300.494957
-309.471076,100,3312.891948
-71.636876,23,3316.11869
-308.557635,100,3331.496505
-55.677957,18,3334.019579
-74.651121,24,3337.256254
-71.401215,23,3339.928764
-62.202924,20,3342.636353
-309.32276,100,3354.939664
-310.192616,100,3366.269064
-71.330281,23,3368.657766
-308.69855,100,3385.708605
-92.396021,30,3389.284762
-77.739662,25,3391.894622
-78.514897,25,3394.330332
